outgoing_mins_per_month,outgoing_sms_per_month,monthly_mb,use_id,platform_id,use_type_id
16.34,91.76,20764.45,22944,android,1
250.87,149.37,519.12,22945,android,1
250.87,149.37,519.12,22946,android,1
184.73,9.13,4152.88,22949,android,1
102.66,79.84,5191.12,22950,android,3
102.66,79.84,5191.12,22951,ios,3
305.58,159.5,894.58,22955,android,1
197.43,115.02,12458.67,22962,android,1
361.19,38.53,2076.45,22963,android,1
28.9,29.42,3114.67,22964,android,1
302.11,83.14,1557.33,22965,android,1
222.32,224.58,3114.67,22966,android,1
125.32,138.28,1557.33,22967,android,1
171.2,153.35,5595.97,22968,android,1
171.2,153.35,5595.97,22969,android,1
192.58,60.83,3114.67,22970,android,1
248.95,52.47,1557.33,22971,android,1
248.95,52.47,1557.33,22972,android,1
215.92,12.93,1557.33,22974,android,1
200.18,89.48,5191.12,22975,android,1
360.86,103.92,3114.67,22977,ios,3
202.63,78.32,1557.33,22978,ios,2
146.45,48.67,1557.33,22979,android,1
246.89,22.36,31146.67,22980,android,1
61.22,262.47,12458.67,22981,android,1
49.71,38.02,15573.33,22982,ios,3
255.47,14.7,1557.33,22985,android,3
146.45,48.67,1557.33,22986,android,3
0.5,3.32,7469.79,22987,android,3
114.59,69.2,1557.33,22988,android,1
4.62,22.94,3114.67,22989,android,1
376.59,79.84,3114.67,22991,ios,2
244.93,16.22,20764.45,22992,ios,2
95.22,207.59,1557.33,22994,ios,2
95.22,207.59,3114.67,22995,android,1
123.2,5.83,10158.5,22997,android,1
128.99,4.09,1557.33,22998,android,1
119.8,26.11,803.24,22999,ios,3
322.33,86.39,3114.67,23002,ios,3
124.7,4.64,11.68,23003,android,1
37.27,136.1,1557.33,23005,ios,3
50.68,540.6,650.92,23012,ios,2
28.74,29.52,3114.67,23013,ios,2
87.76,140.61,1557.33,23015,android,1
99.81,403.78,3114.67,23016,ios,2
55.96,0.25,2076.45,23017,ios,3
101.59,84.41,5191.12,23018,ios,3
126.3,135.35,519.12,23019,android,1
42.93,124.33,519.12,23020,android,1
63.56,26.87,9344,23021,android,1
157.33,8.87,1557.33,23023,android,1
70.34,18,212.64,23024,ios,2
532.98,44.36,2076.45,23026,ios,3
60.08,261.33,12458.67,23027,android,1
92.52,162.39,1557.33,23028,android,1
22.85,34.54,6577.12,23029,android,3
227.13,76.94,0,23030,ios,2
227.13,76.94,1038.21,23031,ios,2
227.13,76.94,1038.21,23032,android,1
57.66,62.85,1557.33,23036,android,1
180.18,17.49,2076.45,23039,android,1
12.85,58.32,74.4,23040,android,1
198.59,90.49,5191.12,23041,android,1
198.59,90.49,5191.12,23043,android,1
198.59,90.49,3114.67,23044,android,1
106.65,82.13,5191.12,23046,android,1
344.53,20.53,519.12,23049,android,1
42.75,46.83,5191.12,23053,ios,2
501.92,165.52,2112.59,23057,android,1
60.41,0.8,3114.67,23058,android,1
60.41,0.8,3114.67,23059,android,1
46.4,65.9,1557.33,23073,android,1
38.56,47.65,4025.86,23083,android,1
747.97,65.84,4867.46,23084,android,1
73.49,6.94,1557.33,23142,ios,3
41.6,61.51,1557.33,23106,ios,2
641.36,336.38,1812.74,23116,android,1
993.35,99,11286.04,23143,android,1
73.49,6.94,5191.12,23183,android,1
73.49,6.94,1557.33,23157,ios,3
776.34,31.02,5819.47,23205,ios,2
48.62,9.13,519.12,23207,ios,2
206.03,38.42,664.33,23211,android,1
320.07,366.81,1689.74,23241,ios,2
111.74,37.62,703.72,23301,ios,2
134.87,497.89,480.25,23420,ios,2
293.72,106.26,1320.51,23429,ios,2
173.28,94.05,3953.89,23473,ios,2
632.06,120.46,1453.16,23482,ios,2
632.06,120.46,1453.16,23484,android,1
15.52,18.5,1557.33,23536,android,1
583.73,216.52,1441.29,23548,android,1
190.08,30.92,369.84,23591,android,1
161.21,24.54,1908.59,23609,android,1
300.3,11.66,3251.33,23676,android,1
1816.63,83.65,738.36,23743,android,1
139.34,125.98,1496.01,23823,android,1
113.49,48.16,6015.75,23838,android,1
209.97,40.56,3395.66,23844,android,1
209.97,40.56,3395.66,23845,android,1
209.97,40.56,3395.66,23847,ios,3
341.85,106.71,265.81,23864,android,1
616.56,99.85,5414.14,23882,android,1
616.56,99.85,5414.14,23883,ios,3
357.3,235.73,5131.29,23888,android,1
357.3,235.73,5131.29,23890,android,1
198.9,45.22,625.4,23910,android,1
198.9,45.22,625.4,23909,android,1
749.84,319.66,1674.35,23981,android,1
28.79,29.42,3114.67,23988,android,1
616.56,99.85,5414.14,24006,ios,3
339.09,136.88,9854.79,24037,ios,3
335.03,105.44,634.28,24180,android,1
1407.98,245.53,5140.96,24190,android,1
632.18,21.21,1783.21,24198,android,1
1034.27,142.28,2650.05,24222,android,1
242.41,634.52,541.39,24277,android,1
677.02,101.86,1132.23,24316,android,3
677.02,101.86,1132.23,24317,android,1
677.02,101.86,1132.23,24318,android,1
677.02,101.86,1132.23,24319,android,3
583.73,216.52,1441.29,24332,android,1
583.73,216.52,1441.29,24333,android,1
333.11,70.91,2814.64,24399,ios,2
677.02,101.86,1132.23,24436,android,1
677.02,101.86,1132.23,24437,android,1
677.02,101.86,1132.23,24438,android,1
677.02,101.86,1132.23,24439,android,3
463.05,165.89,362.02,24445,android,3
205.4,42.08,1045.39,24451,android,1
205.4,42.08,1045.39,24455,android,1
436.37,180.33,415.1,24466,ios,2
583.73,216.52,1441.29,24545,android,1
512.48,61.63,4565.33,24601,ios,2
291.82,109.26,4527.83,24602,ios,3
234.7,167.39,2609.2,24647,ios,3
291.82,109.26,4527.83,24653,ios,3
1083.14,52.03,6215.01,24728,ios,3
248.56,133.07,2004.88,24761,ios,3
583.73,216.52,1441.29,24764,ios,2
74.47,47.03,860.88,24766,android,1
74.47,47.03,860.88,24767,ios,3
260.66,68.44,896.96,24885,android,1
558.52,70.64,3334.28,24963,android,1
260.66,68.44,896.96,25008,android,1
97.12,36.5,2815,25040,android,1
355.93,12.37,6828.09,25046,android,1
632.06,120.46,1453.16,25058,android,1
488.7,906.92,3089.85,25220,android,1
